Model,Accuracy,Precision,Recall,F1 Score
Naive Bayes,0.7391841779975278,0.8536585365853658,0.7264150943396226,0.7849133537206932
SVM,0.8516687268232386,0.8796296296296297,0.8962264150943396,0.8878504672897196
